sample001	0.234	1.456	0.789	2.123	0.567	1.890	0.345	1.234
sample002	1.123	0.890	1.234	0.456	2.345	0.678	1.567	0.789
sample003	0.456	2.012	0.678	1.789	0.234	1.456	0.890	2.123
sample004	2.345	0.567	1.890	0.234	1.567	0.789	2.012	0.456
sample005	0.789	1.234	0.456	2.345	0.678	1.890	0.234	1.567
sample006	1.567	0.234	2.012	0.789	1.456	0.567	1.234	0.890
sample007	0.678	1.890	0.234	1.567	2.345	0.456	0.789	2.012
sample008	2.012	0.456	1.234	0.890	0.234	2.345	1.567	0.678
sample009	0.890	2.345	0.567	1.234	1.789	0.234	0.456	1.890
sample010	1.234	0.678	1.567	2.012	0.890	1.456	2.345	0.234
